id,organization_name,shelter_name,shelter_address,shelter_city,shelter_province,shelter_postal_code,facility_name,program_name,sector,occupancy,capacity,occupancy_year
942,The Salvation Army of Canada,Salvation Army - Maxwell Meighen,Sherbourne Street,Toronto,ON,M5A 2R5,S.A. Maxwell Meighen Centre,Salvation Army - Maxwell Meighen Emergency Bed Program,Men,265,270,2018
944,The Salvation Army of Canada,Salvation Army - New Hope Leslie,29 Leslie Street,Toronto,ON,M4M 3C3,S.A. New Hope Leslieville,Salvation Army - New Hope - Men's Hostel,Men,22,60,2018
958,COSTI Immigrant Services,COSTI Reception Centre,100 Lippincott Street,Toronto,ON,M5S 2P1,COSTI Quality Suites (Families),COSTI - Quality Suites Family Program,Families,304,330,2018
968,City of Toronto,Birkdale Residence,1229 Ellesmere Road,Toronto,ON,M1P 4V8,Birkdale Residence,Birkdale Residence - Bedded Program,Families,173,160,2018
969,City of Toronto,Birkdale Residence,1229 Ellesmere Road,Toronto,ON,M1P 4V8,Birkdale Residence Motel (Fam),Birkdale Residence  - Toronto Plaza Hotel Program (Refugees),Families,172,205,2018
972,City of Toronto,Downsview Dells,1651 Sheppard Ave West,Toronto,ON,,Downsview Dells 1651 Sheppard W,Downsview Dells Bedded Program,Men,24,28,2018
976,City of Toronto,Family Residence,4222 Kingston Road,Toronto,ON,M1E 2M6,Family Residence - Roycroft Site,Family Residence - Roycroft Site,Families,55,50,2018
986,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Hostel Program,Men,238,240,2018
987,City of Toronto,Seaton House,339 George Street,Toronto,ON,M5A-2N2,Seaton House - 339 George Street,Seaton House - Hostels Extreme Weather Program,Men,7,42,2018
992,City of Toronto,Women's Residence,674 Dundas St. W,Toronto,ON,M5T 1H9,Womens' Res - 674 Dundas St. W,Womens' Residence - Main Program,Women,98,103,2018
999,Dixon Hall,Dixon Hall - Schoolhouse,349 George Street,Toronto,ON,M5A 2N2,Dixon Hall-School House,Dixon Hall - Schoolhouse,Men,41,42,2018
1014,Good Shepherd Ministries,Good Shepherd Centre,412 Queen Street East,Toronto,ON,M5A 1T3,Good Shepherd Centre,Good Shepherd - Emergency/Resettlement,Men,64,70,2018
